"","Major","Total","Men","Women","Major_category","ShareWomen","Employed","Full_time","Part_time","Full_time_year_round","Unemployment_rate","Median","P25th","P75th","College_jobs","Non_college_jobs","Low_wage_jobs","Engineering","LogMedian"
"1","PETROLEUM ENGINEERING",2339,2057,282,"Engineering",0.120564344,1976,1849,270,1207,0.018380527,110000,95000,125000,1534,364,193,"1",11.6082356447746
"2","MINING AND MINERAL ENGINEERING",756,679,77,"Engineering",0.101851852,640,556,170,388,0.117241379,75000,55000,90000,350,257,50,"1",11.2252433925184
"3","METALLURGICAL ENGINEERING",856,725,131,"Engineering",0.153037383,648,558,133,340,0.024096386,73000,50000,105000,456,176,0,"1",11.1982147201305
"4","NAVAL ARCHITECTURE AND MARINE ENGINEERING",1258,1123,135,"Engineering",0.107313196,758,1069,150,692,0.050125313,70000,43000,80000,529,102,0,"1",11.1562505210315
"5","CHEMICAL ENGINEERING",32260,21239,11021,"Engineering",0.341630502,25694,23170,5180,16697,0.061097712,65000,50000,75000,18314,4440,972,"1",11.0821425488778
"6","NUCLEAR ENGINEERING",2573,2200,373,"Engineering",0.144966965,1857,2038,264,1449,0.177226407,65000,50000,102000,1142,657,244,"1",11.0821425488778
"7","ACTUARIAL SCIENCE",3777,2110,1667,"Business",0.441355573,2912,2924,296,2482,0.095652174,62000,53000,72000,1768,314,259,"0",11.0348896640272
"8","ASTRONOMY AND ASTROPHYSICS",1792,832,960,"Physical Sciences",0.535714286,1526,1085,553,827,0.021167415,62000,31500,109000,972,500,220,"0",11.0348896640272
"9","MECHANICAL ENGINEERING",91227,80320,10907,"Engineering",0.119558903,76442,71298,13101,54639,0.057342278,60000,48000,70000,52844,16384,3253,"1",11.0020998412042
"10","ELECTRICAL ENGINEERING",81527,65511,16016,"Engineering",0.196450256,61928,55450,12695,41413,0.059173845,60000,45000,72000,45829,10874,3170,"1",11.0020998412042
"11","COMPUTER ENGINEERING",41542,33258,8284,"Engineering",0.199412643,32506,30315,5146,23621,0.065409275,60000,45000,75000,23694,5721,980,"1",11.0020998412042
"12","AEROSPACE ENGINEERING",15058,12953,2105,"Engineering",0.139792801,11391,11106,2724,8790,0.065162085,60000,42000,70000,8184,2425,372,"1",11.0020998412042
